real_caption,predicted_caption
ct chest axial view showing a huge ascending aortic aneurysm (*).,axial chest ct view showing a ct aortic aortic dissection
computed tomography (ct) shows floating thrombosis (white arrow),computed tomography (ct) shows ill-defined (white
digitally subtracted angiogram demonstrates active extravasation of the superior rectal artery into the ileal-conduit (blue arrow),angiogram into superior demonstrates the extravasation of the superior mesenteric artery into the superior into arrow) into superior angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram
digitally subtracted angiogram of the ima demonstrated cessation of flow through the proximal superior rectal artery in the region of the intersection between the artery and ureter with retained perfusion of the rectosigmoid region and resolution of active extravasation,selective and artery of the proximal and in of the in the proximal portion and artery with the proximal of the proximal of the proximal with the and the flow and the proximal of of the of the bleed. of vein. angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram angiogram
angle measurement of a type 1 canal.,measurement measurement of a measurement 1 measurement
"computed tomography on day 26follow-up enhanced computed tomography on day 26 revealed no apparent progression of left iliopsoas hematoma, and no extravasation of contrast media was seen.",contrast tomography on day of day computed tomography on day of on no contrast and of contrast adnexal on on no contrast on contrast enhanced on no
enhanced ct scan of the chest revealed an anterior mediastinal tumor (black arrow).,the ct scan of the anterior ct an anterior mediastinal mass (black arrow).
arrow shows ulp at the distal arch.,the shows the arrow the distal esophagus
early sagittal t2-weighted mri.,sagittal sagittal t2-weighted sagittal
late axial t2-weighted mri.,t2-weighted axial t2-weighted axial axial axial
transverse us image of the left ovary demonstrates the “string of pearls” sign.,transverse us image of the left transverse demonstrates the left transverse the of
"neck ct showing a left lymph node conglomerate with hypodense images due to necrotic changes, loss of cleavage plane with muscle structures, and mass effect on the ipsilateral jugular vein.ct: computed tomography",ct with showing a mass breast node with to a mass showing to the mass a of the mass with a mass with a with on ct neck mass mass on tomography
"postoperative computed tomography angiography showing that the left internal mammary artery graft was patent, with good distal run-off in the left anterior descending artery.",postoperative computed tomography angiography showing the the distal anterior jugular vein. was in also left the distal left with the distal anterior descending artery
"dsa showing self-expandable stent of the left ica.foot note: dsa, digital subtraction angiography; ica, internal carotid artery.",digital showing internal internal artery. the internal internal artery. the showing subtraction angiogram artery. showing carotid artery.
chest radiography shows aneurysm as protruding mass.,chest radiography shows cardiomegaly. as well mass.
abdominal x-ray. sems was placed beyond the stenosis.,abdominal radiograph.
hrct done on presentation to the er that shows b/l ground glass infiltrates with patchy consolidations involving mainly the peripheries,hrct shows on the with the bilateral
large left-sided pneumothorax with typical covid-19 lungs infiltrate,large left-sided pneumothorax with large view pneumothorax with with large
retrograde portography performed with 10 ml iodinated contrast medium over a 5 french catheter.,retrograde cholangiopancreatography with with contrast days with contrast medium extravasation the contrast days a
